question_id,video_id,task_type,duration,question,options,correct_answer,l1_predicted,l1_correct,l2_predicted,l2_correct,category
699-1,699,Action Recognition,long,"In line with the video evidence, what does the team do in the first story?",A. They are fighting with each other. | B. They are watching a movie. | C. They are filming. | D. They are saving a mermaid.,C,C,True,C,True,maintained_correct
699-2,699,Object Recognition,long,"In accordance with the video footage, who protects the mermaid?",A. The shark. | B. The dog. | C. The panda. | D. Herself.,A,A,True,D,False,regressed
699-3,699,Action Recognition,long,What happens when the figures in the video are electrocuted?,A. They become abnormal. | B. They lose their memory. | C. They become friendly. | D. They yearn for a family.,B,A,False,A,False,maintained_wrong
751-1,751,Counting Problem,long,How many goals did the number 9 of the blue team score in the match?,A. 1. | B. 2. | C. 3. | D. 4.,B,B,True,A,False,regressed
751-2,751,Counting Problem,long,How many timeout substitutions were there during the game in the video?,A. 1. | B. 2. | C. 3. | D. 4.,B,B,True,B,True,maintained_correct
751-3,751,Object Reasoning,long,"How did the match in the video progress in terms of scoring, leading up to its conclusion?","A. The match was dominated by the blue team throughout, ending in a straightforward win without going to extra time. | B. The red team took an early lead, but the blue team caught up and maintained a steady lead, winning the match without needing extra time. | C. The match was closely contested, with the score tied at halftime and again during the second half, ultimately going to extra time where the red team won by penalties. | D. The game saw an unexpected comeback by the blue team in the extra time, securing a win through a last-minute goal.",C,C,True,C,True,maintained_correct
786-1,786,Action Reasoning,long,How does Snow White come to meet the seven miners?,A. She is on a quest to find a hidden treasure. | B. She is kidnapped by the miners from her castle. | C. She is sent to the forest by her wicked stepmother and finds their home. | D. She wanders into the forest out of curiosity and stumbles upon their cottage.,C,C,True,C,True,maintained_correct
786-2,786,Action Recognition,long,What is the Queen's fate in the video?,A. She is trapped on a cliff and meets her end by a falling boulder. | B. She is overthrown by the miners and banished from the kingdom. | C. She is forgiven by Snow White and reforms her ways. | D. She flees the kingdom to seek power elsewhere.,A,A,True,A,True,maintained_correct
786-3,786,Action Reasoning,long,What inference can be made about the actress on her interactions in the video?,A. She won the friendship of the miners and the creatures of the forest. | B. She was a skilled princess who fights for justice. | C. She has magic that helps her control nature. | D. She was a musician known throughout the country.,A,A,True,A,True,maintained_correct
794-1,794,Information Synopsis,long,What is the primary focus of this video?,"A. The video features a magician who can control the elements and manipulate fire, water, and wind. | B. The video highlights a magician who performs several astonishing magics on the stage. | C. The video features a magician who reveals the secrets behind famous magic tricks. | D. The video showcases a magician who can transform ordinary objects into gold with his magic.",C,C,True,C,True,maintained_correct
794-2,794,Action Reasoning,long,What is the key to the illusion of bending a teaspoon with his mind?,A. The key to the illusion is a spring at the center to stretch a special teaspoon. | B. The key to the illusion is using a hidden magnet to manipulate the teaspoon. | C. The key to the illusion is a special chemical coating on the teaspoon that reacts to the magician's touch. | D. The key to the illusion is a miniature robotic arm hidden inside the teaspoon.,A,B,False,B,False,maintained_wrong
794-3,794,Object Reasoning,long,What is the purpose of the mirrors in the last magic?,A. To create an optical illusion that makes it appear as though the magician is in two places at once. | B. To prevent the audience from seeing the magician's escape route. | C. To enhance the visual aesthetics of the performance and create a mesmerizing atmosphere for the audience. | D. To serve as a symbolic representation of the magician's ability to manipulate reality and bend the laws of physics.,B,A,False,A,False,maintained_wrong
883-1,883,Action Reasoning,long,Which move in the video was done in both the warm-up phase and the official workout phase of Monday's workout?,A. Glute drive. | B. Barbell rdls. | C. Single leg dumbbell rdl. | D. Seated hamstring curl.,A,D,False,D,False,maintained_wrong
883-2,883,Object Reasoning,long,"What is the difference in appearance between the female lead in the video, Friday and Wednesday?","A. On Friday her hair was shorter compared to when it was on Wednesday, and on Friday she wore different trousers than she did on Wednesday. | B. Friday she didn't wear a coat, Wednesday she wore a coat. | C. On Friday, her hair was longer and straighter and she wore different trousers than on Wednesday. | D. On Friday, her hair turned curly and she wore different trousers than she did on Wednesday.",D,C,False,C,False,maintained_wrong
883-3,883,Temporal Reasoning,long,Which of the following describes the heroine's weekly fitness programme correctly?,"A. Glutes and hamstrings on Monday, pulls on Tuesday, Quads and calves on Wednesday, rest on Thursday when the lady goes to the hairdresser's and gets her hair done, push on Friday and Cardio and Core on Saturday. | B. Glutes and hamstrings on Monday, push on Tuesday, Quads and calves on Wednesday, rest on Thursday when the lady goes to the hairdresser's and gets her hair done, pulls on Friday and Cardio and Core on Saturday. | C. Glutes and hamstrings on Monday, pulls on Tuesday, Wednesday off while the lady goes to the hairdresser's and gets her hair done, Quads and calves on Thursday, push on Friday and Cardio and Core on Saturday. | D. None of the above.",B,C,False,D,False,changed_wrong
896-1,896,Object Reasoning,long,What sets apart the third set of stickers from the other two?,A. The third set of stickers are animal prints. | B. The third set of stickers is with botanical patterns. | C. The third set of stickers has no color. | D. The third set of stickers is Inexpensive.,C,B,False,B,False,maintained_wrong
896-2,896,Temporal Reasoning,long,"What is the proper sequence for the following items used in this video?
(a) Stickers.
(b) Watercolor pencils.
(c) Gems.
(d) Glue paper.",A. (a)(c)(b)(d). | B. (d)(b)(a)(c). | C. (b)(a)(d)(c). | D. (d)(a)(c)(b).,D,D,True,D,True,maintained_correct
896-3,896,Information Synopsis,long,What is captured in this video?,A. Crafting Tutorial. | B. Introduction to shopping for handmade products. | C. Sticker Share. | D. Individual handmade works are sold online.,B,C,False,A,False,changed_wrong
